Chemical List
ID,Name,CAS No,Description
"8","Chromium, Hexavalent and its compounds","","Chromium (VI) is carcinogenic to humans. It has been most clearly linked to lung cancer by inhalation in indoor and outdoor air.<br><br>Possible sources: Chromium is a metal used mainly for making steel and other alloys and it can be released during welding and cutting stainless steel. It also occurs in leather tanning, textile production, photography, stained glass working, chemicals used as a pigment in paints, inks, and plastics, as an anticorrosion agent in protective coatings, and in chrome plating. "
"9","Chromium, Non-Hexavalent and its compounds","","Chromium can be used and emitted in multiple forms. Hexavalent chromium (i.e. chromium VI) is much more toxic than other forms of chromium and it is the primary form emitted to air. Reporting of nonhexavalent chromium separately from hexavalent chromium enables the tracking of the different forms of chromium. During the industrial process one may convert to the other and emissions of non-hexavalent chromium are often associated with hexavalent emissions. Tracking of the different forms of chromium will stimulate pollution prevention activities in the areas that will afford the greatest risk reduction for Toronto residents.<br><br>Possible sources: Chromium is a metal used mainly for making steel and other alloys and it can be released during welding and cutting stainless steel. It also occurs in leather tanning, textile production, photography, stained glass working, chemicals used as a pigment in paints, inks, and plastics, as an anticorrosion agent in protective coatings, and in chrome plating. "
"13","Dichloromethane (Methylene chloride)","75-09-2","Dichloromethane is possibly carcinogenic to humans. It has been linked to an increased risk of tumours of both the liver and kidneys. Individuals may experience this increased risk of cancer as a result of chronically breathing contaminated air containing dichloromethane.<br><br>Possible sources: Dichloromethane is used as a solvent in paint strippers and removers. It is used as a process solvent in the manufacture of drugs, pharmaceuticals, and filmcoatings. It is also used as a metal cleaning and finishing solvent in electronics manufacturing; aerosol propellant, and as an agent in urethane foam blowing. Dichloromethane sources also include landfills and wastewater processing. "
"14","Formaldehyde","50-00-0","Formaldehyde is carcinogenic to humans. It is considered a weak initiator of cancer and a strong promoter of cancer. It is also a highly reactive substance that can be irritating to the nose, eyes, skin, throat and lungs at fairly low levels of chronic exposure. People with asthma may be more sensitive to the irritating effects of inhaled formaldehyde. Individuals may be at an increased risk of these health conditions after being chronically exposed to formaldehyde in the air.<br><br>Possible sources: Formaldehyde is used primarily to produce resins used in particleboard products and as an intermediate in the synthesis of other chemicals. It is released from stationary internal combustion engines and turbines, pulp and paper plants, and other manufacturing facilities. It may also be released when it is used as a fumigant, soil disinfectant, embalming fluid, and leather tanning agent. "
"15","Lead and its compounds","","Exposure to lead can lead to health effects in almost every organ and system in the human body, including adverse effects on the reproductive, gastrointestinal, renal, cardiovascular, hematopoietic, immune and nervous systems. These health effects are consistent regardless of the route of exposure (inhalation or ingestion). Chronic exposure mainly affects the nervous system. Symptoms of exposure may include a decrease in neurological function, and damage of the brain and kidneys. Children are especially vulnerable to lead poisoning. Recent science shows that even low levels of exposure to lead have adverse impacts on neurobehaviour in children and on blood pressure in adults. Lead is probably carcinogenic to humans. Exposure to lead may lead to an increased risk of cancer of the kidneys.<br><br>Possible sources: Lead is used in the manufacture of batteries. It can be released during combustion of solid waste, coal and oils, and during iron and steel production and lead smelting. "
"16","Manganese and its compounds","","Manganese primarily affects the nervous system and neurobehavioral functions in humans. Individuals who are chronically exposed to manganese may experience impairment of motor skills such as difficulty performing fast movements and maintaining balance. TPH is concerned with population exposure as a result of individuals chronically inhaling air contaminated with manganese.<br><br>Possible sources: Manganese is used in the production of steel and alloys, batteries, matches, fireworks and as a chemical intermediate. It is also released into the air by combustion of coal and oil and by power plants. "
"17","Mercury and its compounds","","Once mercury is released into the air it tends to settle in soil and sediments where it is changed to an organic form, methyl mercury, which biomagnifies or concentrates up the food chain, particularly the aquatic food chain. As a result, humans can be exposed to mercury (in the form of methyl mercury) when they consume fish and shellfish. Mercury is of concern to human health as it can have harmful effects throughout the body. Most notably, mercury is known as a potent human neurotoxin however, exposure has also been linked to an increased risk of reproductive toxicity and cardiovascular disease. Adverse effects on the nervous system are of increased concern for the fetus, infant and child as these subgroups are particularly vulnerable.<br><br>Possible sources: Mercury is used in the production of thermometers, barometers, batteries, dental amalgams, fluorescent lights and lubrication oils. It is also released in the combustion of fossil fuels in electric power generation. "
"18","Nickel and its compounds","","Nickel compounds are carcinogenic to humans. Individuals who breathe in air contaminated with nickel are at an increased risk of developing diseases of the respiratory system. These diseases include chronic bronchitis, reduced lung function, and cancer of the lung and nasal sinus.<br><br>Possible sources: Nickel compounds are used for electroplating and the production of batteries, industrial plumbing, machinery parts, resistance wiring and chemical catalysts They are also released from utility oil and coal combustion, nickel metal refining, and lead smelting. "
"23","Nitrogen Oxides (NOx)","11104-93-1","NOx is the term used to describe a category of chemicals known as nitrogen oxides. The main source of NOx is human activity as a result of combustion of fossil fuels particularly from vehicles. NOx is produced by all combustion processes in the presence of air. Nitrogen dioxide, NO2, was identified as one of five common air pollutants of significant health concern that contributes to the burden of illness from air pollution in Toronto. Individuals are exposed by inhaling air that contains NO2. NO2 affects mainly the respiratory system. Exposure leads to a decrease in the lungs' ability to fight infection. Nitrogen dioxide concentrations are associated with daily mortality and hospital admissions as a result of respiratory disease. People with asthma and bronchitis, young children and adults with heart and respiratory disorders are especially sensitive to NO2 exposure.<br><br>Possible sources: Nitrogen oxides are released as a by-product of combustion and from some chemical processes. "
"24","Particulate Matter 2.5 (PM2.5)","","Particulate matter (PM) is a term used to describe solid and liquid particles found in the air we breathe. These particles are composed of acid aerosols, organic chemicals, smoke, metal fumes, fly ash, dust and pollen. PM that is smaller than 2.5 microns in diameter is called PM2.5. PM2.5 leads primarily to irritation of the eyes, throat and lungs. These particles may worsen the condition of those individuals who are afflicted by respiratory conditions, such as asthma, bronchitis, or lung disease, and also affects those with pre-existing cardiovascular disease. Children and the elderly have an increased sensitivity to PM. Particles may also reduce an individual's capacity to combat infection.<br><br>Possible sources: PM2.5 is released as a by-product of combustion and industrial processes. "
"22","Polycyclic Aromatic Hydrocarbons (PAHs)","","Polycyclic aromatic hydrocarbons are a group of chemicals that are formed as a result of incomplete burning of organic substances. PAHs are present in the environment as complex mixtures that are difficult to measure and identify. Some PAH-rich mixtures are carcinogenic and some are not. Similarly, some individual PAHs are carcinogenic, and some are not. Benzo[a]pyrene (B[a]P) was used as a surrogate for the group of PAHs when determining cancer potency, because it is the most toxic member of the PAH family of compounds. Individuals may be exposed to a number of PAHs through both ingestion and inhalation. Although food is the major source of exposure to PAHs, since PAHs are a more potent carcinogen when inhaled than ingested, the risk of lung cancer due to inhalation exposure may be higher than the risk of stomach cancer from oral intake.<br><br>Possible sources: PAHs are released as a by-product of combustion and certain industrial processes. They are a component of asphalt, coal tar and other bituminous products. "
"19","Tetrachloroethylene (Perchloroethylene)","127-18-4","Tetrachloroethylene is probably carcinogenic to humans. It has been linked to an increased risk of a variety of cancers in several systems of the human body, including both mononuclear cell leukemia and liver tumours. Individuals may experience this increased risk of cancer as a result of being chronically exposed to tetrchloroethylene by inhalation.<br><br>Possible sources: Tetrachloroethylene is widely used for dry-cleaning fabrics and textile processing. It is used as a chemical intermediate and in metal degreasing operations. It is also used in the manufacture of paint removers and printing inks, the formulation of adhesives and specialized cleaning fluids, and as aerosols and dye carriers. "
"20","Trichloroethylene","079-01-6","Trichloroethylene is probably carcinogenic to humans. Individuals who are chronically exposed to low levels of trichloroethylene by inhalation, may experience an increased risk of liver, kidney or lung cancer. Chronic exposure may also lead to liver injury and acute central nervous system effects such as headaches and fatigue.<br><br>Possible sources: Trichloroethylene is used in industrial degreasing of metal parts, as a chemical intermediate, as an industrial solvent and in the production of consumer products such as paint strippers, adhesives and rug cleaning fluids. "
"21","Vinyl chloride","75-01-4","Vinyl chloride is considered a human carcinogen. Exposure to vinyl chloride shows a strong and consistent association primarily with cancer of the liver. People may experience this increased risk of cancer as a result of breathing air contaminated with vinyl chloride.<br><br>Possible sources: Vinyl chloride is primarily used to make polyvinyl chloride (PVC) plastic which is then used to make a variety of plastic and vinyl products. A smaller portion of vinyl chloride is used in furniture and automobile upholstery, wall coverings, housewares and automotive parts. "
"25","Volatile Organic Compounds (VOCs) Total","","VOCs are a group of organic chemicals that easily evaporate into the air from their direct use, from products containing them, or as a by-product of industrial processes. VOCs react with other pollutants to create ozone, a major contributor to smog. Ozone has been associated with acute symptoms like coughing and wheezing as well as more chronic conditions such as asthma and chronic obstructive pulmonary disease (COPD), which includes chronic bronchitis and emphysema. In 2004, TPH reported that exposure to five common smog pollutants, including ozone, contributed to about 1,700 premature deaths and 6,000 hospitalizations of Toronto residents each year. While VOCs can act as precursors of smog, they can also be toxic and impact directly on human health. People who chronically breathe air contaminated with VOCs may experience an increased risk of cardiovascular and respiratory problems.<br><br>Possible sources: VOCs easily evaporate into the air from their direct use, from products containing them or as by-products of industrial processes. Since there are many hundreds of VOCs it is somewhat difficult to summarize all possible sources. The most common sources however, include vehicle use, fossil fuel combustion, steel-making, petroleum refining, fuel-refilling, industrial and residential solvent use, paint application, manufacturing of synthetic materials (e.g. plastics, carpets), food processing, agricultural activities and wood processing and burning. "
