Chemical use
Reporting Year,Facility ID,Facility Name,Industry,Chemical ID,Chemical Name,CAS No,Processed,Manufactured,Other Use,Released to Air,Released to Land,Released to Surface Water,Released to Disposal,Released to Recycling
"2010","411","Chemtura Canada Co./Cie West Hill","Other Petroleum & Coal Products Mfg.","25","Volatile Organic Compounds (VOCs) Total","","","","4561682","353000","","","",""
"2010","404","Chemtura Canada CoCie","Petrochemical Mfg.","24","Particulate Matter 2.5 (PM2.5)","","","60","","60","","","",""
"2010","404","Chemtura Canada CoCie","Petrochemical Mfg.","25","Volatile Organic Compounds (VOCs) Total","","","4461489","","65000","","","",""
"2010","531","Churethane Inc","Urethane & Miscellaneous Foam Product Mfg.","13","Dichloromethane (Methylene chloride)","75-09-2","","","12960","3888","0","","",""
"2010","569","City of Toronto Ashbridges Bay Wastewater Treatment Plant","Sewage Treatment Facilities","5","Cadmium and its compounds","","140","","","","0","109","",""
"2010","569","City of Toronto Ashbridges Bay Wastewater Treatment Plant","Sewage Treatment Facilities","15","Lead and its compounds","","6810","","","","0","3540","",""
"2010","569","City of Toronto Ashbridges Bay Wastewater Treatment Plant","Sewage Treatment Facilities","17","Mercury and its compounds","","79","","","","0","27","",""
"2010","569","City of Toronto Ashbridges Bay Wastewater Treatment Plant","Sewage Treatment Facilities","23","Nitrogen Oxides (NOx)","11104-93-1","","34000","","34000","","","",""
"2010","569","City of Toronto Ashbridges Bay Wastewater Treatment Plant","Sewage Treatment Facilities","24","Particulate Matter 2.5 (PM2.5)","","","652","","652","","","",""
"2010","569","City of Toronto Ashbridges Bay Wastewater Treatment Plant","Sewage Treatment Facilities","25","Volatile Organic Compounds (VOCs) Total","","","1890","","1890","","","",""
"2010","512","City of Toronto City Clerk's Office","Other Printing","25","Volatile Organic Compounds (VOCs) Total","","","","518","518","","","",""
"2010","570","City of Toronto Highland Creek Treatment Plant","Sewage Treatment Facilities","5","Cadmium and its compounds","","38","","","3","","30","",""
"2010","570","City of Toronto Highland Creek Treatment Plant","Sewage Treatment Facilities","15","Lead and its compounds","","1385","","","32","","1070","",""
"2010","570","City of Toronto Highland Creek Treatment Plant","Sewage Treatment Facilities","17","Mercury and its compounds","","17","","","9","","8","",""
"2010","570","City of Toronto Highland Creek Treatment Plant","Sewage Treatment Facilities","18","Nickel and its compounds","","775","","","","","775","",""
"2010","570","City of Toronto Highland Creek Treatment Plant","Sewage Treatment Facilities","23","Nitrogen Oxides (NOx)","11104-93-1","","67900","","67900","","","",""
"2010","570","City of Toronto Highland Creek Treatment Plant","Sewage Treatment Facilities","24","Particulate Matter 2.5 (PM2.5)","","","27400","","27400","","","",""
"2010","570","City of Toronto Highland Creek Treatment Plant","Sewage Treatment Facilities","25","Volatile Organic Compounds (VOCs) Total","","","741","","741","","","",""
"2010","571","City of Toronto Humber Wastewater Treatment Plant","Sewage Treatment Facilities","5","Cadmium and its compounds","","76","","","","","66","",""
"2010","571","City of Toronto Humber Wastewater Treatment Plant","Sewage Treatment Facilities","15","Lead and its compounds","","2995","","","","","2120","",""
"2010","571","City of Toronto Humber Wastewater Treatment Plant","Sewage Treatment Facilities","17","Mercury and its compounds","","61","","","","","20","",""
"2010","571","City of Toronto Humber Wastewater Treatment Plant","Sewage Treatment Facilities","18","Nickel and its compounds","","1681","","","","","1681","",""
"2010","571","City of Toronto Humber Wastewater Treatment Plant","Sewage Treatment Facilities","23","Nitrogen Oxides (NOx)","11104-93-1","","9210","","9210","","","",""
"2010","571","City of Toronto Humber Wastewater Treatment Plant","Sewage Treatment Facilities","24","Particulate Matter 2.5 (PM2.5)","","","175","","175","","","",""
"2010","571","City of Toronto Humber Wastewater Treatment Plant","Sewage Treatment Facilities","25","Volatile Organic Compounds (VOCs) Total","","","506","","506","","","",""
"2010","572","City of Toronto North Toronto Treatment Plant","Sewage Treatment Facilities","5","Cadmium and its compounds","","7","","","","","7","",""
"2010","572","City of Toronto North Toronto Treatment Plant","Sewage Treatment Facilities","15","Lead and its compounds","","318","","","","","249","",""
"2010","572","City of Toronto North Toronto Treatment Plant","Sewage Treatment Facilities","23","Nitrogen Oxides (NOx)","11104-93-1","","780","","780","","","",""
"2010","543","Clariant Canada Inc","All Other Plastic Product Mfg.","8","Chromium, Hexavalent and its compounds","","104","","","","","","",""
"2010","543","Clariant Canada Inc","All Other Plastic Product Mfg.","9","Chromium, Non-Hexavalent and its compounds","","37372","","","","","","",""
"2010","543","Clariant Canada Inc","All Other Plastic Product Mfg.","15","Lead and its compounds","","16374","","","","","","",""
"2010","543","Clariant Canada Inc","All Other Plastic Product Mfg.","23","Nitrogen Oxides (NOx)","11104-93-1","","216","","216","","","",""
"2010","543","Clariant Canada Inc","All Other Plastic Product Mfg.","24","Particulate Matter 2.5 (PM2.5)","","","6052","","6052","","","",""
"2010","216","Club Coffee LP","Coffee & Tea Mfg.","23","Nitrogen Oxides (NOx)","11104-93-1","","1950","","1950","","","",""
"2010","216","Club Coffee LP","Coffee & Tea Mfg.","24","Particulate Matter 2.5 (PM2.5)","","","1223","","1223","","","",""
"2010","216","Club Coffee LP","Coffee & Tea Mfg.","25","Volatile Organic Compounds (VOCs) Total","","","506","","506","","","",""
"2010","371","CocaCola Refreshments Canada Company Weston Plant","Soft Drink & Ice Mfg.","23","Nitrogen Oxides (NOx)","11104-93-1","","6125","","6125","","","",""
"2010","371","CocaCola Refreshments Canada Company Weston Plant","Soft Drink & Ice Mfg.","24","Particulate Matter 2.5 (PM2.5)","","","116","","116","","","",""
"2010","371","CocaCola Refreshments Canada Company Weston Plant","Soft Drink & Ice Mfg.","25","Volatile Organic Compounds (VOCs) Total","","","367","","367","","","",""
"2010","497","Coco Paving Inc Leaside HMA Plant","Asphalt Paving Mixture & Block Mfg.","23","Nitrogen Oxides (NOx)","11104-93-1","","623","","623","","","",""
"2010","497","Coco Paving Inc Leaside HMA Plant","Asphalt Paving Mixture & Block Mfg.","24","Particulate Matter 2.5 (PM2.5)","","","219","","219","","","",""
"2010","497","Coco Paving Inc Leaside HMA Plant","Asphalt Paving Mixture & Block Mfg.","25","Volatile Organic Compounds (VOCs) Total","","","196","","196","","","",""
"2010","498","Coco Paving Inc Wilson HMA Plant","Asphalt Paving Mixture & Block Mfg.","23","Nitrogen Oxides (NOx)","11104-93-1","","1317","","1317","","","",""
"2010","498","Coco Paving Inc Wilson HMA Plant","Asphalt Paving Mixture & Block Mfg.","24","Particulate Matter 2.5 (PM2.5)","","","437","","437","","","",""
"2010","498","Coco Paving Inc Wilson HMA Plant","Asphalt Paving Mixture & Block Mfg.","25","Volatile Organic Compounds (VOCs) Total","","","416","","416","","","",""
"2010","474","Colmar Corporation","Printing Ink Mfg.","16","Manganese and its compounds","","38","","","1","0","","",""
"2010","474","Colmar Corporation","Printing Ink Mfg.","25","Volatile Organic Compounds (VOCs) Total","","10182","","","243","","","",""
"2010","397","Color Box Design Printing","Digital Printing","25","Volatile Organic Compounds (VOCs) Total","","1","","","","","","",""
"2010","240","Colour Innovations Print Inc","Other Printing","25","Volatile Organic Compounds (VOCs) Total","","","","17190","4811","","","",""
"2010","226","Colwell Canada Corp","Other Printing","23","Nitrogen Oxides (NOx)","11104-93-1","","864","","864","","","",""
"2010","226","Colwell Canada Corp","Other Printing","25","Volatile Organic Compounds (VOCs) Total","","118843","","","96144","","","",""
"2010","24255","Commercial Bakeries Corp","Cookie & Cracker Mfg.","23","Nitrogen Oxides (NOx)","11104-93-1","0","1318","0","1318","","","",""
"2010","24255","Commercial Bakeries Corp","Cookie & Cracker Mfg.","24","Particulate Matter 2.5 (PM2.5)","","0","69","0","69","","","",""
"2010","23212","Compagnie Parento Ltd","All Other Misc. Chemical Product Mfg.","25","Volatile Organic Compounds (VOCs) Total","","","","39500","4","","","",""
"2010","24326","Copacetic Woodwork & Design Ltd","Wood Kitchen Cabinet & Counter Top Mfg.","25","Volatile Organic Compounds (VOCs) Total","","183","","","183","","","",""
"2010","90","Cosmetica Laboratories Inc","Toilet Preparation Mfg.","25","Volatile Organic Compounds (VOCs) Total","","6000","10879","6213","5967","0","0","",""
"2010","23178","Coyle Corrugated Containers Inc","Other Printing","25","Volatile Organic Compounds (VOCs) Total","","495","","64","559","","","",""
"2010","23733","Craftsman Custom Built Shutters Inc","Wood Window & Door Mfg.","25","Volatile Organic Compounds (VOCs) Total","","400","","","400","","","",""
"2010","22948","Creative Custom Furnishings Corporation","Upholstered Household Furniture Mfg.","24","Particulate Matter 2.5 (PM2.5)","","","86","","86","","","",""
"2010","447","D Crupi and Sons Limited Bethridge Asphalt Plant","Asphalt Paving Mixture & Block Mfg.","14","Formaldehyde","50-00-0","","380","","380","","","",""
"2010","447","D Crupi and Sons Limited Bethridge Asphalt Plant","Asphalt Paving Mixture & Block Mfg.","23","Nitrogen Oxides (NOx)","11104-93-1","","8876","","8876","","","",""
"2010","447","D Crupi and Sons Limited Bethridge Asphalt Plant","Asphalt Paving Mixture & Block Mfg.","24","Particulate Matter 2.5 (PM2.5)","","","736","1","737","","","",""
"2010","447","D Crupi and Sons Limited Bethridge Asphalt Plant","Asphalt Paving Mixture & Block Mfg.","25","Volatile Organic Compounds (VOCs) Total","","","5871","","5871","","","",""
"2010","448","D Crupi and Sons Limited Brimley Asphalt Plant","Asphalt Paving Mixture & Block Mfg.","23","Nitrogen Oxides (NOx)","11104-93-1","","2751","","2751","","","",""
"2010","448","D Crupi and Sons Limited Brimley Asphalt Plant","Asphalt Paving Mixture & Block Mfg.","24","Particulate Matter 2.5 (PM2.5)","","","624","1","625","","","",""
"2010","448","D Crupi and Sons Limited Brimley Asphalt Plant","Asphalt Paving Mixture & Block Mfg.","25","Volatile Organic Compounds (VOCs) Total","","","585","","585","","","",""
"2010","446","D Crupi and Sons Limited Passmore Ave Asphalt Plant","Asphalt Paving Mixture & Block Mfg.","14","Formaldehyde","50-00-0","","384","","384","","","",""
"2010","446","D Crupi and Sons Limited Passmore Ave Asphalt Plant","Asphalt Paving Mixture & Block Mfg.","23","Nitrogen Oxides (NOx)","11104-93-1","","6913","","6913","","","",""
"2010","446","D Crupi and Sons Limited Passmore Ave Asphalt Plant","Asphalt Paving Mixture & Block Mfg.","24","Particulate Matter 2.5 (PM2.5)","","","551","1","551","","","",""
"2010","446","D Crupi and Sons Limited Passmore Ave Asphalt Plant","Asphalt Paving Mixture & Block Mfg.","25","Volatile Organic Compounds (VOCs) Total","","","5172","","5172","","","",""
"2010","477","D&J Manufacturing Co Ltd","Other Millwork","24","Particulate Matter 2.5 (PM2.5)","","","893","","893","","","",""
"2010","477","D&J Manufacturing Co Ltd","Other Millwork","25","Volatile Organic Compounds (VOCs) Total","","2676","","","2577","","","",""
"2010","22046","Dalton Pharma Services","Pharmaceutical & Medicine Mfg.","7","Chloroform (Trichloromethane)","67-66-3","","","284","0","","","",""
"2010","22046","Dalton Pharma Services","Pharmaceutical & Medicine Mfg.","13","Dichloromethane (Methylene chloride)","75-09-2","","","3882","0","","","",""
"2010","22046","Dalton Pharma Services","Pharmaceutical & Medicine Mfg.","25","Volatile Organic Compounds (VOCs) Total","","","","16803","0","","","",""
