Facilities List
ID,Name,Address,Unit No,Postal Code,Primary Contact Last Name,Primary Contact First Name,Phone,Phone Ext,Industry,Employees at Facility
"25287","AUTO ZONE CENTRE INC","1960 LAWRENCE AVE EAST","9","M1R 2Z1","DAVOUDY","SERJ","416-755-0005","","Automobile & Light-Duty Motor Vehicle Mfg.","2"
"25320","Aamco Transmission","2941 Eglinton Ave E","","M1J 2E5","Varey","Chris","416-431-5352","","Other Automotive Mechanical & Electrical R&M","6"
"23753","Ab's Auto Repair Inc","2272 Kingston Rd","","M1N 1T9","Hajiani","Abdul","416-266-7277","","General Automotive Repair","2"
"25263","Abacus Custom Counter Tops","70 Milner Ave","6","M1S 3P8","Petralito","Charlie","647-436-9374","","Wood Kitchen Cabinet & Counter Top Mfg.","2"
"24279","Abacus Furniture","915 Oxford Street","","M8Z 5T3","Colwin","Robert","416-251-7251","21","Other Wood Household Furniture Mfg.","10"
"24500","Abart Engineering Limited","383 Ellis Park Road","1002","M6S 5B2","Koehle","Hans","416-485-0771","","Engineering Services","1"
"24412","Abbot Environmental Ltd","445 Midwest Rd","27-28","M1P 4Y9","Rumball","Patrick","416-438-5502","","All Other Special Trade Contracting","10"
"25215","Abe's Service Centre","434 Wilson Avenue","","M3H 1T6","Oliel","Gilbert","416-633-2237","","General Automotive Repair","4"
"24502","Able Seal Design","5533 Steeles Ave West","11","M9L 1S7","Childs","David","416-741-0750","","Machinery, Equip. & Supplies Agents & Brokers","21"
"22884","Above All Awnings","75 Glenmore Rd","","M4L 3M2","Brow","Tim","416-698-3592","","Textile Bag & Canvas Mills","3"
"24535","Abra Dry Cleaners","871 Bloor St W","","M6G 1M4","Hu","Hong Tao","416-627-8278","","Dry Cleaning & Laundry Serv. (exc. Coin-Op.)","11"
"23501","Academy Auto Collision","2207 Jane Street","","M3M 1A5","Bonacci","Mark","416-247-7821","","Automotive Body, Paint & Interior R&M","7"
"22456","Academy Of Learning","702 Pape Ave","","M4K 3S7","Davies","Biju","416-422-5627","","Educational Support Services","7"
"23954","Acadian Platers CoLtd","315 Rexdale Blvd","","M9W 1R8","Sutherland","Jim","905-564-1711","200","Coating, Engraving & Heat Treating Activities","30"
"24718","Access Group Inc","89 Tycos Dr","101","M6B 1W3","VISENTIN","DONNA","416-789-5542","228","All Other Misc. Store Retailers, n.e.c.","23"
"24506","Accuenergy","2 Lansing Square","1001","M2J 4P8","Wang","Liang","416-497-4100","222","Electrical Wiring & Construction Supplies Whl","8"
"22629","Accurate Impressions Ltd","49 Laird Drive","","M4G 3T4","Bergeron","Richard","416-429-9161","","Digital Printing","8"
"25225","Accurate Repairs","250 Tempo Ave","","M2H 2N8","Sheppard","Doug","416-266-2791","202","Office & Store Machinery & Equipment Whl.","20"
"25284","Accurate Rolal Co Ltd","72 Northline Road","","M4B 3E5","Davis","Erick","416-751-6922","229","Other Printing","22"
"24811","Accurate Rolal Co Ltd","72 Northline Road","","M4B 3E5","Davis","Erick","416-751-6922","229","Other Printing","17"
"22666","Accuscreen Supplies Inc","5250 Finch Ave E","10","M1S 5A4","Jackson","Tom","416-751-1630","","Support Activities for Printing","3"
"24308","Ace Auto Detailing","102 Turbine Dr","2","M9L 2S2","Kim","Bogeun","416-895-4323","","Car Washes","1"
"589","Ace Bakery Limited North York","1 Hafis Road","","M6M 2V6","Kraus","Walter","416-252-7323","2226","Commercial Bakeries & Frozen Product Mfg.","1"
"25018","Ace Cleaners","924 Eglinton Ave West","","M6C 2C2","AHN","KWANGHYUN","416-785-3260","","Dry Cleaning & Laundry Serv. (exc. Coin-Op.)","2"
"23983","Ace Kelly Dry Cleaners Inc","1912 Avenue Road ","","M5M 4A1","Avansian","Ida","416-882-7682","","Dry Cleaning & Laundry Serv. (exc. Coin-Op.)","3"
"24699","Acme Shelving And Store Fixtures","360 Magnetic Dr","1","M3J 2C4","Desousa","Carlos","416-661-2442","29","All Other Misc. Store Retailers, n.e.c.","16"
"23773","Acrylic Artisans Limited","530 Coronation Drive","12","M1E 5C8","McGhee","Peter","416-724-7570","","All Other Plastic Product Mfg.","2"
"22899","Action Hydraulics Limited","797 Garyray Drive","","M9L 1R2","Rodrigues","Gloria","416-745-4900","","All Other General-Purpose Machinery Mfg.","15"
"24339","ActivExhaust","1865 Birchmount Road","","M1P 2J5","Kouay","Chris","416-445-9610","291","All Other Misc. Fabricated Metal Product Mfg.","250"
"24888","Active Green Ross","73 Bridgeland Ave","","M6A 1Y7","Ali","Mohamud","416-789-1446","","Tire Dealers","4"
"23832","Active Green Ross","1935 Lawrence Ave E","","M1R 3Y8","Saravanamuthu","Ramesh","416-752-3662","","General Automotive Repair","6"
"23950","Active Metal Finishing Co Ltd","43 Advance Road","","M8Z 2S6","Jamieson","John","416-233-9810","","Coating, Engraving & Heat Treating Activities","45"
"22474","Active Tire Auto Centre Inc","186 The Queensway","","M8Y 1J3","Sganga","Ralph","416-259-4684","","General Automotive Repair","7"
"22591","Adar Automotive","1170 Sheppard Ave West","33","M3K 2A3","Berznoger","Sol","416-636-0831","","General Automotive Repair","3"
"23230","Adfactor Inc","1079 College Street","","M6H 1B4","McBain","Rob","416-531-7907","","Quick Printing","2"
"24304","Adong Foods","2300 Finch Ave W","31","M9M 2Y3","Tran","Kien Anh","416-401-8830","","Rendering & Meat Processing from Carcasses","5"
"24289","Adorn Graphics Printing Inc","4141 Weston Road","4","M9L 2S5","Patel","Jigarkumar","416-743-1723","","Quick Printing","4"
"25243","Advanced Automotive","14 Coldwater Rd","","M3B 1Y7","Ross","Edward","416-447-0001","","Automotive Parts & Accessories Stores","8"
"24495","Affordable Burials And Cremations","733 Mount Pleasant Road","","M4S 2N4","Newbigging","Paul","416-489-8811","","Funeral Homes","10"
"22703","Affordable Muffler","2207 Kingston Rd","","M1N 1T7","Veerasammy","Subryan","416-264-5094","","Automotive Exhaust System Repair","1"
"23870","Affordable Rubbish Removal Ltd","111 Manitoba St","","M8Y 1E2","Campos","William","416-253-4476","","Waste Collection","1"
"23239","Afghan Auto Service Ltd","361 Ryding Ave","","M6N 1H6","Waziri","Ahmed Waheed","416-766-2855","","General Automotive Repair","3"
"23904","Agape Cleaners","2466 Eglinton Ave East","9","M1K 5J8","Suh","Jong Soon","416-266-4562","","Dry Cleaning & Laundry Serv. (exc. Coin-Op.)","1"
"23424","Agincourt Pulmonary Services","240 Alton Towers Circle","208","M1V 4P3","Kwong","Jenny","416-321-2613","","Medical & Diagnostic Laboratories","5"
"581","Agropur Cooperative Division Natrel","1275 Lawrence Ave E","","M3A 3P9","Reinholz","Paul","647-227-4466","","Fluid Milk Mfg.","350"
"23474","Ah Fong Food","328 Passmore Ave","52","M1V 5J5","Li","Jie Zhen","416-321-0038","","Fruit & Vegetable Canning, Pickling & Drying","12"
"25114","Ah Fong Products Ltd","328 Passmore Ave","52","M1V 5J5","Li","Janice","416-321-0038","","Frozen Food Mfg.","20"
"22481","Air Treatment","20 DENSLEY AVE","","M6M 2R1","Little","Mel","416-235-0373","310","Plumbing, Heating & AC Installation","10"
"24287","Airborn Flexible Circuits Inc","11 Dohme Ave","","M4B 1Y7","Pialis","Peter","416-285-3825","","Semiconductor & Electronic Component Mfg.","190"
"24469","Airflow Signs Inc","47 Lucy Ave","","M1L 1A1","Gajdacs","Greg","416-698-1599","","Sign Mfg.","1"
"23999","Airtronic Metal And Machine Parts Limited","22 Golden Gate Court","","M1P 3A5","Garcia","Ramon P","416-298-9299","","Machine Shops","10"
"22142","Akal Auto's One Stop Shop Ltd","8 Canso Rd","","M9W 4L8","Grewal","Manjit","416-744-0586","","Automotive Body, Paint & Interior R&M","3"
"22437","Akryl Industries","91 Kelfield St","1","M9W 5A4","McAllister","Jack","416-674-5856","","All Other Plastic Product Mfg.","31"
"23088","Akzo Nobel Coatings Ltd","110 Woodbine Downs ","4","M9W 5S6","Hearn","Randy","416-674-6633","1349","Automotive Body, Paint & Interior R&M","1"
"25070","Alan Auto Inc","490 Dupont St","","M6G 1Y7","MAHMOOD","FAZAL","416-536-8909","","General Automotive Repair","1"
"22786","Albion Centre One Hour Cleaners","1530 Albion Rd","96A","M9V 1B4","Chung","Nakwoon","416-741-4333","","Dry Cleaning & Laundry Serv. (exc. Coin-Op.)","4"
"24217","Alcohol Countermeasure Systems Corp","60 International Blvd","","M9W 6J2","Greco","Andre","416-619-9373","","All Other Miscellaneous Mfg.","225"
"24092","Alert Printers Ltd","130 Industry Street","35","M6M 5G3","Mannella","Sal","416-766-8431","","Other Printing","2"
"22236","Alex Tailoring Cleaning","165 Dalhousie Street","","M5B 2R2","Huynh","Muoi","416-368-7273","","Dry Cleaning & Laundry Serv. (exc. Coin-Op.)","1"
"23790","Alexander Karpuchin Limited","464 Royal York Road","","M8Y 2S2","Clement","Joanne","416-253-5000","","All Other Misc. Wood Product Mfg.","7"
"24020","Alfa Laval Inc","101 Milner Ave","101","M1S 4S6","Jagadeesh","Anup","416-297-3402","402","All Other General-Purpose Machinery Mfg.","54"
"24619","Algood Casters Limited","605 Fenmar Drive","","M9L 2R6","Guttmann","Craig","416-749-7743","","Stamping","65"
"24199","All Auto Repair Inc","48 Eugene Street","","M6B 3Z4","Turco","Frank","416-787-8617","","General Automotive Repair","5"
"22696","All One Pak Inc","174 Bartley drive","7A","M4A 1E1","Luo","Jing","416-285-6894","","Commercial Screen Printing","75"
"25335","All Repairs","241 Bridgeland Ave","Rear","M6A 1Y7","Goldhar","Uri","416-856-5980","","Commercial & Ind'l Mach. & Equip. R&M","0"
"24376","All Steel Doors 2000 Ltd","130 Milner Ave","","M1S 3R3","Adams","Leslie","416-297-8500","225","Metal Window & Door Mfg.","29"
"23484","All Washed Up Laundromat","31 Tapscott Road","B5","M9L 1Y4","Cardoso","Michael","416-275-5829","","Coin-Operated Laundries & Dry Cleaners","1"
"22245","All Way Dry Cleaners","1701 Martin Grove Road","8","M9V 4N4","Kim","Jakyung","416-746-2491","","Dry Cleaning & Laundry Serv. (exc. Coin-Op.)","1"
"23011","AllCar Auto Body","2 Rosemount Ave","18","M9N 3B3","Rizek","Sager","416-244-3710","","Automotive Body, Paint & Interior R&M","2"
"24154","Allanson International Inc","33 Cranfield Road","","M4B 3H2","TRIFU","HOREA","416-288-3304","","Transformer (except Electronic) Mfg.","64"
"22326","Allen Gallery Framing","331 Queen St E","","M5A 1S9","Fine","Jeffrey","416-366-3195","","Print & Picture Frame Stores","5"
"603","Allied Halo Industries Inc","345 Nantucket Blvd","","M1P 4S7","Tavares","Danielle","416-751-2042","325","Other Printing","77"
"24957","Allied Machinery Inc","27 Passmore Ave Toronto Ontario","7","M1V 4T4","Newman","Matthew","416-332-8044","","Professional Machinery, Equip. & Supplies Whl","4"
"22525","Allied Plastics","707 Arrow Rd","","M9M 2L4","Bruhm","Todd","416-762-1111","230","All Other Plastic Product Mfg.","12"
"21879","Allpriser Ltd","322 La Rose Ave","","M9P 1B9","Ottaway","Keith","416-247-8219","27","Other Printing","9"
"22413","Allsteel Food Equipment Ltd","380 Tapscott Rd","8-10","M1B 2Y8","Choi","Irene","416-298-0322","","Commercial & Service Industry Machinery Mfg.","8"
"24710","Alnor Material Handling Limited","18-20 Rangemore Rd","","M8Z 5H7","Barlock","John","416-255-9221","","All Other Misc. Fabricated Metal Product Mfg.","18"
"25078","Alpha Auto Glass","1570 Midland Ave","13","M1P 3C3","Salhi","Abdul Wali","416-505-4454","","Automotive Glass Replacement Shops","1"
"25188","Alpha Laboratories Inc","2025 Midland Avanue Scarborough On","402","M1P 3E2","ChesloTrengrove","Robert","416-449-2166","1313","Medical & Diagnostic Laboratories","2"
"25189","Alpha Laboratories Inc","100 King St West","CN0108","M5X 1A4","ChesloTrengrove","Robert","416-449-2166","1313","Medical & Diagnostic Laboratories","3"
"22511","Alpha Laboratories Inc","2-45 Overlea Blvd","2","M4H 1C3","ChesloTrengrove","Robert","416-449-2166","","Medical & Diagnostic Laboratories","2"
"22516","Alpha Laboratories Inc","855 Broadview Ave","106","M4K 3Z1","ChesloTrengrove","Robert","416-449-2166","","Medical & Diagnostic Laboratories","2"
"24760","Alpha Laboratories Inc","100 King St West","0108","M5X 1A4","ChesloTrengrove","Robert","416-449-2166","1313","Medical & Diagnostic Laboratories","2"
"24761","Alpha Laboratories Inc","622 CollegeSt Toronto ON","203","M6G 1B4","ChesloTrengrove","Robert","416-449-2166","1313","Medical & Diagnostic Laboratories","2"
"24762","Alpha Laboratories Inc","751 Pape Ave Toronto ON","BSMT","M4K 3T1","ChesloTrengrove","Robert","416-449-2166","1313","Medical & Diagnostic Laboratories","2"
"24763","Alpha Laboratories Inc","1223 St Clair AveWest Toronto ON","304","M6E 1B5","ChesloTrengrove","Robert","416-449-2166","1313","Medical & Diagnostic Laboratories","2"
"24764","Alpha Laboratories Inc","245 Dixon Road Etobicoke ON","112","M9P 2M4","ChesloTrengrove","Robert","416-449-2166","1313","Medical & Diagnostic Laboratories","2"
"22673","Alpha Laboratories Inc","240 Alton Towers Circle","","M1V 4P2","ChesloTrengrove","Robert","416-449-2166","","Medical & Diagnostic Laboratories","2"
"23806","Alpha Laboratories Inc","855 Broadview Ave","106","M4K 3Z1","ChesloTrengrove","Robert","416-449-2166","","Medical & Diagnostic Laboratories","1"
"23807","Alpha Laboratories Inc","45 Overlea Blvd","B1","M4H 1C3","ChesloTrengrove","Robert","416-449-2166","","Medical & Diagnostic Laboratories","2"
"23808","Alpha Laboratories Inc","3420 Finch Ave East","103","M1W 2R6","ChesloTrengrove","Robert","416-449-2166","","Medical & Diagnostic Laboratories","3"
"23810","Alpha Laboratories Inc","2130 Lawrence Ave East","300","M1R 3A6","ChesloTrengrove","Robert","416-449-2166","","Medical & Diagnostic Laboratories","1"
"22671","Alpha Laboratories Inc","477 Dundas St West","","M5T 1H1","ChesloTrengrove","Robert","416-449-2166","","Medical & Diagnostic Laboratories","2"
"22482","Alpha Laboratories Inc","1262 Don Mills Road","","M3B 2W7","ChesloTrengrove","Robert","416-449-2166","","Medical & Diagnostic Laboratories","100"
"22600","Alpha Laboratories Inc","2025 Midland Ave Scarborough ON","402","M1P 3E2","ChesloTrengrove","Robert","416-449-2166","","Medical & Diagnostic Laboratories","2"
"22125","Alpha Oil Inc","490 Garyray Drive","","M9L 1P8","Krula","Mike","416-745-6131","","Petroleum Product Whl.","27"
"24747","Alpha Omega Corporation","514 Carlingview Drive","","M9W 5R3","Kraus","Walter","416-252-7323","2226","Commercial Bakeries & Frozen Product Mfg.","20"
"24347","Alpha Omega Dental Laboratories Ltd","89 Tycos Dr","205","M6B 1W3","Paraskevopoulos","George","416-785-7905","","Offices of All Other Health Practitioners","2"
"22388","Alpha Profiles Ltd","451 Fenmar Dr","","M9L 2R6","Santamaria Jr","Steve","416-740-7770","","Unlaminated Plastic Profile Shape Manufacturing","7"
"22126","Alpha Service Centre","490 Garyray Drive","a","M9L 1P8","Krula","Stefan","416-745-6131","","General Automotive Repair","3"
"22118","Alpine Orthodontic Dental Laboratory","21 Bearbury Dr","101","M9C 2H1","Semuschak","Vitaly","416-621-9466","","Offices of Dentists","1"
"22088","Alpine Specialty Chemicals Ltd","24 Ronson Drive","16","M9W 1B4","Andoni","Ilir","416-744-2120","230","Soap & Cleaning Compound Mfg.","43"
"25337","Alpine Specialty Chemicals Ltd","9 City View Drive","","M9W 5A5","ANDONI","ILIR","416-744-2120","230","Soap & Cleaning Compound Mfg.","50"
"25345","AlteRego Corporation","36 Tidemore Avenue","","M9W 5H4","Kathula","Sri","416-740-3397","","Plastics Bag Manufacturing","70"
"23267","Alternative Die Cutting Inc","132 Alexdon Rd","","M3J 2B3","Dodaro","Carmine","416-748-6868","","Support Activities for Printing","33"
"24602","Alto Restoration Inc","148 Toryork Drive","1","M9L 1X6","Leitao","Jack","416-742-1944","","Concrete Pouring & Finishing Work","4"
"22277","Alton Windows And Doors Limited","155 Fenmar Drive","","M9L 1M7","Paterra","John","416-749-8282","","Metal Window & Door Mfg.","15"
"450","Alumicor","33 Racine Rd","","M9W 2Z4","Royce","Sheldon","416-745-4222","","All Other Misc. Fabricated Metal Product Mfg.","35"
"22334","Alvarado Denture Clinic","658 Pharmacy Avenue","","M1L 3H5","Alvarado","Alfredo","416-694-5449","","Offices of All Other Health Practitioners","2"
"23917","Amberwood Doors Inc","80 Galaxy Blvd","","M9W 4Y8","Fraser","Colin","416-213-8007","","Wood Window & Door Mfg.","20"
"23764","Amicorp Developments","240 Bartor Rd","","M9M 2W6","Marocco","Steve","647-426-6310","","Other Activities Related to Real Estate","1"
"24894","Amigo Auto Body Parts Ltd","196 Wildcat Rd","","M3J 2N5","Lahman","Patrick","416-736-8100","","Other New Motor Vehicle Parts & Access. Whl.","3"
"23535","Amin Salim's Auto Repair","999 Eastern Ave","","M4L 1A8","Bhanji","Amin","416-728-5464","","General Automotive Repair","2"
"24193","Amin Salim's Auto Repair Inc","999 Eastern Ave","","M4L 1A8","Bhanji","Amin","416-728-5464","","General Automotive Repair","2"
